Id;N° du binôme;Lieu;Jour;Conditions ;Valeur minimale;Valeur moyenne;Valeur maximale
6001;1;La cour des premières près des arbres;Lundi;Récréation du matin;43;53;64
6002;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;43;54;60
6003;1;La cour des premières près des arbres;Mardi;Récréation du matin;41;52;61
6004;1;La cour des premières près des arbres;Mardi;Récréation de l'après-midi;44;56;62
6005;1;La cour des premières près des arbres;Mercredi;Récréation du matin;43;57;64
6006;1;La cour des premières près des arbres;Mercredi;Récréation de l'après-midi;42;53;61
6007;1;La cour des premières près des arbres;Jeudi;Récréation du matin;44;54;63
6008;1;La cour des premières près des arbres;Jeudi;Récréation de l'après-midi;45;54;64
6009;1;La cour des premières près des arbres;Vendredi;Récréation du matin;46;52;67
6010;1;La cour des premières près des arbres;Vendredi;Récréation de l'après-midi;43;53;64
6011;2;La cour des premières près des casiers;Lundi;Récréation du matin;80;92;108
6012;2;La cour des premières près des casiers;Lundi;Récréation de l'après-midi;50;65;88
6013;2;La cour des premières près des casiers;Mardi;Récréation du matin;41;59;73
6014;2;La cour des premières près des casiers;Mardi;Récréation de l'après-midi;50;67;87
6015;2;La cour des premières près des casiers;Mercredi;Récréation du matin;52;65;89
6016;2;La cour des premières près des casiers;Mercredi;Récréation de l'après-midi;37;57;76
6017;2;La cour des premières près des casiers;Jeudi;Récréation du matin;42;53;68
6018;2;La cour des premières près des casiers;Jeudi;Récréation de l'après-midi;49;63;86
6019;2;La cour des premières près des casiers;Vendredi;Récréation du matin;42;55;78
6020;2;La cour des premières près des casiers;Vendredi;Récréation de l'après-midi;51;62;79
6021;3;"L'espace ""fumeurs""";Lundi;Récréation du matin;37;53;72
6022;3;"L'espace ""fumeurs""";Lundi;Récréation de l'après-midi;;;
6023;3;"L'espace ""fumeurs""";Mardi;Récréation du matin;34;51;66
6024;3;"L'espace ""fumeurs""";Mardi;Récréation de l'après-midi;36;48;63
6025;3;"L'espace ""fumeurs""";Mercredi;Récréation du matin;;;
6026;3;"L'espace ""fumeurs""";Mercredi;Récréation de l'après-midi;;;
6027;3;"L'espace ""fumeurs""";Jeudi;Récréation du matin;;;
6028;3;"L'espace ""fumeurs""";Jeudi;Récréation de l'après-midi;38;52;72
6029;3;"L'espace ""fumeurs""";Vendredi;Récréation du matin;;;
6030;3;"L'espace ""fumeurs""";Vendredi;Récréation de l'après-midi;;;
6031;4;Les toilettes des premières;Lundi;Récréation du matin;;;
6032;4;Les toilettes des premières;Lundi;Récréation de l'après-midi;;;
6033;4;Les toilettes des premières;Mardi;Récréation du matin;;;
